date,Brazil,India
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,1
2020-01-31,0,1
2020-02-01,0,1
2020-02-02,0,2
2020-02-03,0,3
2020-02-04,0,3
2020-02-05,0,3
2020-02-06,0,3
2020-02-07,0,3
2020-02-08,0,3
2020-02-09,0,3
2020-02-10,0,3
2020-02-11,0,3
2020-02-12,0,3
2020-02-13,0,3
2020-02-14,0,3
2020-02-15,0,3
2020-02-16,0,3
2020-02-17,0,3
2020-02-18,0,3
2020-02-19,0,3
2020-02-20,0,3
2020-02-21,0,3
2020-02-22,0,3
2020-02-23,0,3
2020-02-24,0,3
2020-02-25,0,3
2020-02-26,1,3
2020-02-27,1,3
2020-02-28,1,3
2020-02-29,2,3
2020-03-01,2,3
2020-03-02,2,5
2020-03-03,2,5
2020-03-04,4,28
2020-03-05,4,30
2020-03-06,13,31
2020-03-07,13,34
2020-03-08,20,39
2020-03-09,25,43
2020-03-10,31,56
2020-03-11,38,62
2020-03-12,52,73
2020-03-13,151,82
2020-03-14,151,102
2020-03-15,162,113
2020-03-16,200,119
2020-03-17,321,142
2020-03-18,372,156
2020-03-19,621,194
2020-03-20,793,244
2020-03-21,1021,330
2020-03-22,1546,396
2020-03-23,1924,499
2020-03-24,2247,536
2020-03-25,2554,657
2020-03-26,2985,727
2020-03-27,3417,887
2020-03-28,3904,987
2020-03-29,4256,1024
2020-03-30,4579,1251
2020-03-31,5717,1397
2020-04-01,6836,1998
2020-04-02,8044,2543
2020-04-03,9056,2567
2020-04-04,10360,3082
2020-04-05,11130,3588
2020-04-06,12161,4778
2020-04-07,14034,5311
2020-04-08,16170,5916
2020-04-09,18092,6725
2020-04-10,19638,7598
2020-04-11,20727,8446
2020-04-12,22192,9205
2020-04-13,23430,10453
2020-04-14,25262,11487
2020-04-15,28320,12322
2020-04-16,30425,13430
2020-04-17,33682,14352
2020-04-18,36658,15722
2020-04-19,38654,17615
2020-04-20,40743,18539
2020-04-21,43079,20080
2020-04-22,45757,21370
2020-04-23,50036,23077
2020-04-24,54043,24530
2020-04-25,59324,26283
2020-04-26,63100,27890
2020-04-27,67446,29451
2020-04-28,73235,31324
2020-04-29,79685,33062
2020-04-30,87187,34863
2020-05-01,92202,37257
2020-05-02,97100,39699
2020-05-03,101826,42505
2020-05-04,108620,46437
2020-05-05,115455,49400
2020-05-06,126611,52987
2020-05-07,135773,56351
2020-05-08,146894,59695
2020-05-09,156061,62808
2020-05-10,162699,67161
2020-05-11,169594,70768
2020-05-12,178214,74292
2020-05-13,190137,78055
2020-05-14,203165,81997
2020-05-15,220291,85784
2020-05-16,233511,90648
2020-05-17,241080,95698
2020-05-18,255368,100328
2020-05-19,271885,106475
2020-05-20,291579,112028
2020-05-21,310087,118226
2020-05-22,330890,124794
2020-05-23,347398,131423
2020-05-24,363211,138536
2020-05-25,374898,144950
2020-05-26,391222,150793
2020-05-27,411821,158086
2020-05-28,438238,165386
2020-05-29,465166,173491
2020-05-30,498440,181827
2020-05-31,514849,190609
2020-06-01,526447,198370
2020-06-02,555383,207191
2020-06-03,584016,216824
2020-06-04,614941,226713
2020-06-05,645771,236184
2020-06-06,672846,246622
2020-06-07,691758,257486
2020-06-08,707412,265928
2020-06-09,739503,276146
2020-06-10,772416,286605
2020-06-11,802828,297535
2020-06-12,828810,308993
2020-06-13,850514,320922
2020-06-14,867624,332424
2020-06-15,888271,343091
2020-06-16,923189,354065
2020-06-17,955377,366946
2020-06-18,978142,380532
2020-06-19,1032913,395048
2020-06-20,1067579,410451
2020-06-21,1083341,425282
2020-06-22,1106470,440215
2020-06-23,1145906,456183
2020-06-24,1188631,473105
2020-06-25,1228114,490401
2020-06-26,1274974,508953
2020-06-27,1313667,528859
2020-06-28,1344143,548318
2020-06-29,1368195,566840
2020-06-30,1402041,585481
2020-07-01,1448753,604641
2020-07-02,1496858,625544
2020-07-03,1539081,648315
2020-07-04,1577004,673165
2020-07-05,1603055,697413
2020-07-06,1623284,719664
2020-07-07,1668589,742417
2020-07-08,1713160,767296
2020-07-09,1755779,793802
2020-07-10,1800827,820916
2020-07-11,1839850,849522
2020-07-12,1864681,878254
2020-07-13,1884967,906752
2020-07-14,1926824,936181
2020-07-15,1966748,968857
2020-07-16,2012151,1003832
2020-07-17,2046328,1039084
2020-07-18,2074860,1077781
2020-07-19,2098389,1118206
2020-07-20,2118646,1155338
2020-07-21,2159654,1193078
2020-07-22,2227514,1238798
2020-07-23,2287475,1288108
2020-07-24,2343366,1337024
2020-07-25,2394513,1385635
2020-07-26,2419091,1435616
2020-07-27,2442375,1480073
2020-07-28,2483191,1531669
2020-07-29,2552265,1581963
2020-07-30,2610102,1634746
2020-07-31,2662485,1695988
2020-08-01,2707877,1750723
2020-08-02,2733677,1803695
2020-08-03,2750318,1855745
2020-08-04,2801921,1908254
2020-08-05,2859073,1964536
2020-08-06,2912212,2027074
2020-08-07,2962442,2088611
2020-08-08,3012412,2153010
2020-08-09,3035422,2215074
2020-08-10,3057470,2268675
2020-08-11,3109630,2329638
2020-08-12,3164785,2396637
2020-08-13,3224876,2461190
2020-08-14,3275520,2525922
2020-08-15,3317096,2589952
2020-08-16,3340197,2647663
2020-08-17,3359570,2702681
2020-08-18,3407354,2767253
2020-08-19,3456652,2836925
2020-08-20,3501975,2905825
2020-08-21,3532330,2975701
2020-08-22,3582362,3044940
2020-08-23,3605783,3106348
2020-08-24,3622861,3167323
2020-08-25,3669995,3224547
2020-08-26,3717156,3310234
2020-08-27,3761391,3387500
2020-08-28,3804803,3463972
2020-08-29,3846153,3542733
2020-08-30,3862311,3621245
2020-08-31,3908272,3691166
2020-09-01,3950931,3769523
2020-09-02,3997865,3853406
2020-09-03,4041638,3936747
2020-09-04,4091801,4023179
2020-09-05,4123000,4113811
2020-09-06,4137521,4204613
2020-09-07,4147794,4280422
2020-09-08,4162073,4370128
2020-09-09,4197889,4465863
2020-09-10,4238446,4562414
2020-09-11,4282164,4659984
2020-09-12,4315687,4754356
2020-09-13,4330455,4846427
2020-09-14,4345610,4930236
2020-09-15,4382263,5020359
2020-09-16,4419083,5118253
2020-09-17,4455386,5214677
2020-09-18,4495183,5308014
2020-09-19,4528240,5400619
2020-09-20,4544629,5487580
2020-09-21,4558040,5562663
2020-09-22,4591364,5646010
2020-09-23,4591364,5732518
2020-09-24,4657702,5818570
2020-09-25,4689613,5903932
2020-09-26,4717991,5992532
2020-09-27,4732309,6074702
2020-09-28,4745464,6145291
2020-09-29,4777522,6225763
2020-09-30,4810935,6312584
2020-10-01,4847092,6394068
2020-10-02,4847092,6473544
2020-10-03,4906833,6549373
2020-10-04,4915289,6623815
2020-10-05,4927235,6685082
2020-10-06,4969141,6757131
2020-10-07,5000694,6835655
2020-10-08,5028444,6906151
2020-10-09,5055888,6979423
2020-10-10,5082637,7053806
2020-10-11,5094979,7120538
2020-10-12,5103408,7175880
2020-10-13,5113628,7239389
2020-10-14,5140863,7307097
2020-10-15,5169386,7370468
2020-10-16,5200300,7432680
2020-10-17,5224362,7494551
2020-10-18,5224362,7550273
2020-10-19,5250727,7597063
2020-10-20,5273954,7651107
2020-10-21,5298772,7706946
2020-10-22,5323630,7761312
2020-10-23,5353656,7814682
2020-10-24,5380635,7864811
2020-10-25,5394128,7909959
2020-10-26,5409854,7946429
2020-10-27,5439641,7990322
2020-10-28,5468270,8040203
2020-10-29,5494376,8088851
2020-10-30,5516658,8137119
2020-10-31,5535605,8184082
2020-11-01,5545705,8229313
2020-11-02,5554206,8267623
2020-11-03,5566049,8313876
2020-11-04,5590025,8364086
2020-11-05,5590025,8411724
2020-11-06,5631181,8462080
2020-11-07,5653561,8507754
2020-11-08,5664115,8553657
2020-11-09,5675032,8591730
2020-11-10,5699005,8636011
2020-11-11,5747660,8683916
2020-11-12,5781582,8728795
2020-11-13,5810652,8773479
2020-11-14,5848959,8814579
2020-11-15,5863093,8845127
2020-11-16,5876464,8874290
2020-11-17,5911758,8912907
2020-11-18,5945849,8958483
2020-11-19,5981767,9004365
2020-11-20,6020164,9050597
2020-11-21,6052786,9095806
2020-11-22,6071401,9139865
2020-11-23,6087608,9177840
2020-11-24,6118708,9222216
2020-11-25,6166606,9266705
2020-11-26,6204220,9309787
2020-11-27,6238350,9351109
2020-11-28,6290272,9392919
2020-11-29,6314740,9431691
2020-11-30,6335878,9462809
2020-12-01,6386787,9499413
2020-12-02,6436650,9534964
2020-12-03,6487084,9571559
2020-12-04,6533968,9608211
2020-12-05,6577177,9644222
2020-12-06,6603540,9677203
2020-12-07,6623911,9703770
2020-12-08,6674999,9735850
2020-12-09,6728452,9767371
2020-12-10,6781799,9796744
2020-12-11,6836227,9826775
2020-12-12,6880127,9857029
2020-12-13,6901952,9884100
2020-12-14,6927145,9906165
2020-12-15,6970034,9932547
2020-12-16,7040608,9956557
2020-12-17,7110434,9979447
2020-12-18,7162978,10004599
2020-12-19,7213155,10031223
2020-12-20,7238600,10055560
2020-12-21,7263619,10075116
2020-12-22,7318821,10099066
2020-12-23,7365517,10123778
2020-12-24,7423945,10146845
2020-12-25,7448560,10169118
2020-12-26,7465806,10187850
2020-12-27,7484285,10207871
2020-12-28,7504833,10224303
2020-12-29,7563551,10244852
2020-12-30,7619200,10266674
2020-12-31,7675973,10286709
2021-01-01,7700578,10325823
2021-01-02,7716405,10323965
2021-01-03,7733746,10340469
2021-01-04,7753752,10356844
2021-01-05,7810400,10374932
2021-01-06,7873830,10395278
2021-01-07,7961673,10413417
2021-01-08,8013708,10413417
2021-01-09,8075998,10450284
2021-01-10,8105790,10466595
2021-01-11,8131612,10479179
2021-01-12,8195637,10495147
2021-01-13,8256536,10512093
2021-01-14,8324294,10527683
2021-01-15,8393492,10542841
2021-01-16,8455059,10557985
2021-01-17,8488099,10571773
2021-01-18,8511770,10581823
2021-01-19,8573864,10595639
2021-01-20,8638249,10610883
2021-01-21,8697368,10625428
2021-01-22,8753920,10639684
2021-01-23,8816254,10654533
2021-01-24,8844577,10667736
2021-01-25,8871393,10676838
2021-01-26,8933356,10689527
2021-01-27,8996876,10701193
2021-01-28,9058687,10720048
2021-01-29,9118513,10733130
2021-01-30,9176975,10746174
2021-01-31,9204731,10757610
2021-02-01,9229322,10766245
2021-02-02,9283418,10777284
2021-02-03,9339420,10790183
2021-02-04,9396293,10802591
2021-02-05,9447165,10814304
2021-02-06,9447165,10826363
2021-02-07,9524640,10838194
2021-02-08,9524640,10847304
2021-02-09,9599565,10858371
2021-02-10,9659167,10871294
2021-02-11,9713909,10880603
2021-02-12,9765455,10892746
2021-02-13,9809754,10904940
2021-02-14,9834513,10916589
2021-02-15,9866710,10925710
2021-02-16,9921981,10937320
2021-02-17,9978747,10950201
2021-02-18,10030626,10963394
2021-02-19,10084208,10977387
2021-02-20,10139148,10991651
2021-02-21,10168174,11005850
2021-02-22,10195160,11016434
2021-02-23,10257875,11030176
2021-02-24,10324463,11046914
2021-02-25,10390461,11063491
2021-02-26,10455630,11079979
2021-02-27,10517232,11096731
2021-02-28,10551259,11112241
2021-03-01,10587001,11124527
2021-03-02,10646926,11139516
2021-03-03,10718630,11156923
2021-03-04,10793732,11173761
2021-03-05,10869227,11192045
2021-03-06,10938836,11210799
2021-03-07,11019344,11229398
2021-03-08,11051665,11244786
2021-03-09,11122429,11262707
2021-03-10,11202305,11285561
2021-03-11,11277717,11308846
2021-03-12,11363380,11333728
2021-03-13,11439558,11359048
2021-03-14,11483370,11385339
2021-03-15,11519609,11409831
2021-03-16,11603535,11438734
2021-03-17,11693838,11474605
2021-03-18,11780820,11514331
2021-03-19,11871390,11555284
2021-03-20,11950459,11599130
2021-03-21,11998233,11646081
2021-03-22,12047526,11686796
2021-03-23,12130019,11734058
2021-03-24,12220011,11787534
2021-03-25,12320169,11846652
2021-03-26,12404414,11908910
2021-03-27,12490362,11971624
2021-03-28,12534688,12039644
2021-03-29,12573615,12095855
2021-03-30,12658109,12149335
2021-03-31,12748747,12221665
2021-04-01,12839844,12303131
2021-04-02,12910082,12392260
2021-04-03,12953597,12485509
2021-04-04,12984956,12589067
2021-04-05,13013601,12686049
2021-04-06,13100580,12801785
2021-04-07,13193205,12928574
2021-04-08,13279857,13060542
2021-04-09,13373174,13205926
2021-04-10,13445006,13358805
2021-04-11,13482023,13527717
2021-04-12,13517808,13689453
2021-04-13,13599994,13873825
2021-04-14,13673507,14074564
2021-04-15,13746681,14291917
2021-04-16,13832455,14526609
2021-04-17,13900091,14788003
2021-04-18,13943071,15061805
2021-04-19,13973695,15320972
2021-04-20,14043076,15616130
2021-04-21,14122795,15930774
2021-04-22,14167973,16263695
2021-04-23,14237078,16610481
2021-04-24,14308215,16960172
2021-04-25,14340787,17313163
2021-04-26,14369423,17636186
2021-04-27,14441563,17997113
2021-04-28,14521289,18376421
2021-04-29,14590678,18762976
2021-04-30,14659011,19164969
2021-05-01,14725975,19557457
2021-05-02,14754910,19925517
2021-05-03,14779529,20282833
2021-05-04,14856888,20664979
2021-05-05,14930183,21077410
2021-05-06,15003563,21491598
2021-05-07,15082449,21892676
2021-05-08,15145879,22296081
2021-05-09,15184790,22662575
2021-05-10,15209990,22992517
2021-05-11,15282705,23340938
2021-05-12,15359397,23703665
2021-05-13,15433989,24046809
2021-05-14,15519525,24372907
2021-05-15,15586534,24684077
2021-05-16,15627243,24965463
2021-05-17,15657391,25228996
2021-05-18,15732836,25496330
2021-05-19,15812055,25772440
2021-05-20,15894094,26031991
2021-05-21,15970949,26289290
2021-05-22,16047439,26530132
2021-05-23,16083258,26752447
2021-05-24,16120756,26948874
2021-05-25,16194209,27157795
2021-05-26,16274695,27369093
2021-05-27,16342162,27555457
2021-05-28,16391930,27729247
2021-05-29,16471600,27894800
2021-05-30,16515120,28047534
2021-05-31,16545554,28175044
2021-06-01,16624480,28307832
2021-06-02,16720081,28441986
2021-06-03,16803472,28574350
2021-06-04,16841408,28694879
2021-06-05,16907425,28809339
2021-06-06,16947062,28909975
2021-06-07,16984218,28996473
2021-06-08,17037129,29089069
2021-06-09,17122877,29182532
2021-06-10,17210969,29274823
2021-06-11,17296118,29359155
2021-06-12,17374818,29439989
2021-06-13,17412766,29510410
2021-06-14,17452612,29570881
2021-06-15,17533221,29633105
2021-06-16,17628588,29700313
2021-06-17,17702630,29762793
2021-06-18,17801462,29823546
2021-06-19,17883750,29881772
2021-06-20,17927928,29935221
2021-06-21,17966831,29977861
2021-06-22,18054653,30028709
2021-06-23,18169881,30082778
2021-06-24,18243483,30134445
2021-06-25,18322760,30183143
2021-06-26,18386894,30233183
2021-06-27,18420598,30279331
2021-06-28,18448402,30316897
2021-06-29,18513305,30362848
2021-06-30,18557141,30411634
2021-07-01,18622304,30458251
2021-07-02,18687469,30502362
2021-07-03,18742025,30545433
2021-07-04,18769808,30585229
2021-07-05,18792511,30619932
2021-07-06,18855015,30663665
2021-07-07,18909037,30709557
2021-07-08,18962762,30752950
2021-07-09,19020499,30795716
2021-07-10,19069003,30837222
2021-07-11,19089940,30874376
2021-07-12,19106971,30907282
2021-07-13,19151993,30946147
2021-07-14,19209729,30987880
2021-07-15,19262518,31026829
2021-07-16,19308109,31064908
2021-07-17,19342448,31106065
2021-07-18,19376574,31144229
2021-07-19,19391845,31174322
2021-07-20,19419437,31216337
2021-07-21,19473954,31257720
2021-07-22,19523711,31293062
2021-07-23,19632443,31293062
2021-07-24,19670534,31371901
2021-07-25,19688663,31411262
2021-07-26,19707662,31440951
2021-07-27,19749073,31484605
2021-07-28,19797086,31528114
2021-07-29,19839369,31572344
2021-07-30,19880273,31613993
2021-07-31,19917855,31655824
2021-08-01,19938358,31695958
2021-08-02,19953501,31726507
2021-08-03,19985817,31769132
2021-08-04,20026533,31812114
2021-08-05,20066587,31856757
2021-08-06,20108746,31895385
2021-08-07,20151779,31934455
2021-08-08,20165672,31969954
2021-08-09,20177757,31998158
2021-08-10,20212642,32036511
2021-08-11,20245085,32077706
2021-08-12,20285067,32117826
2021-08-13,20319000,32156493
2021-08-14,20350142,32192576
2021-08-15,20364099,32225513
2021-08-16,20378570,32250679
2021-08-17,20416183,32285857
